steve oligphil,Days,Cases,CummulativeCases,RecoveredCases,ActiveCases,RecoveredRate,Deaths
12-Mar,0,0,0,0,0,0,0
13-Mar,1,2,2,0,2,0,0
14-Mar,2,1,3,0,3,0,0
15-Mar,3,0,3,0,3,0,0
16-Mar,4,3,6,0,6,0,0
17-Mar,5,1,7,0,7,0,0
18-Mar,6,8,15,0,15,0,0
19-Mar,7,1,16,0,16,0,0
20-Mar,8,1,17,0,17,0,0
21-Mar,9,0,17,0,17,0,0
22-Mar,10,1,18,0,18,0,0
23-Mar,11,3,21,0,21,0,0
24-Mar,12,1,22,0,22,0,0
25-Mar,13,6,28,0,28,0,0
26-Mar,14,9,37,0,37,0,0
27-Mar,15,27,64,0,64,0,0
28-Mar,16,10,74,0,74,0,0
29-Mar,17,22,96,0,96,0,0
30-Mar,18,8,104,2,102,2,0
31-Mar,19,28,132,4,128,2,0
01-Apr,20,34,166,4,162,0,0
02-Apr,21,17,183,11,172,7,0
03-Apr,22,10,193,11,182,0,0
04-Apr,23,11,204,17,187,6,0
05-Apr,24,1,205,17,188,0,0
06-Apr,25,12,217,21,196,4,0
07-Apr,26,4,221,69,152,48,0
08-Apr,27,2,223,69,161,0,0
09-Apr,28,6,229,76,153,7,0
10-Apr,29,12,241,92,149,16,4
11-Apr,30,1,242,96,158,4,0
12-Apr,31,2,244,96,158,0,0
13-Apr,32,0,244,99,145,3,0
14-Apr,33,3,247,108,139,9,0
15-Apr,34,3,250,121,129,13,0
16-Apr,35,1,251,132,119,11,4
17-Apr,36,5,256,140,116,8,4
18-Apr,37,3,259,143,116,3,4
19-Apr,38,1,260,144,116,1,4
20-Apr,39,1,261,150,111,6,4
21-Apr,40,0,261,154,107,4,4
22-Apr,41,2,263,174,89,20,0
23-Apr,42,1,264,196,68,22,0
24-Apr,43,1,265,196,63,0,6
25-Apr,44,4,269,199,64,3,6
26-Apr,45,4,273,199,68,0,6
27-Apr,46,1,274,205,63,6,6
28-Apr,47,0,274,209,59,4,6
29-Apr,48,1,275,213,56,4,6
30-Apr,49,0,275,220,49,7,6
01-May,50,4,279,235,38,15,6
02-May,51,1,280,236,38,1,6
03-May,52,1,281,237,38,1,6
04-May,53,0,281,238,37,1,6
05-May,54,1,282,238,37,0,7
06-May,55,2,284,242,35,4,7
07-May,56,0,283,243,33,1,7
08-May,57,1,284,247,30,4,7
09-May,58,0,284,247,30,0,7
10-May,59,3,287,247,33,0,7
11-May,60,2,289,247,35,0,7
12-May,61,1,290,251,32,4,7
13-May,62,0,290,251,32,0,7
14-May,63,0,289,252,30,1,7
15-May,64,0,289,254,28,2,7
16-May,65,0,289,257,25,3,7
17-May,66,0,289,257,25,0,7
18-May,67,1,290,257,26,0,7
19-May,68,0,290,257,26,0,7
20-May,69,0,290,260,23,3,7
21-May,70,0,290,265,18,5,7
22-May,71,2,292,267,18,2,7
23-May,72,0,292,268,17,1,7
24-May,73,0,292,268,17,0,7
25-May,74,0,292,268,17,0,7
26-May,75,0,292,269,16,1,7
27-May,76,0,292,271,14,2,7
28-May,77,2,294,273,14,2,7
29-May,78,0,294,273,14,0,7
30-May,79,0,294,278,9,5,7
31-May,80,1,295,278,10,0,7
01-Jun,81,0,295,278,10,0,7
